"variable","column","depth","bandwidth","cost"
"d18O",10,7.5,22.3606797749979,2.59268447237625
"N2O",11,7.5,22.3606797749979,0.21027275446032
"SP",11,7.5,22.3606797749979,6.58300628765889
"d18O",11,7.5,22.3606797749979,1.80619131044371
"N2O",12,7.5,22.3606797749979,2.8799164828827
"SP",12,7.5,22.3606797749979,6.93686491250384
"d18O",12,7.5,22.3606797749979,5.1800870175613
"N2O",1,30,22.3606797749979,0.316132831286714
"SP",1,30,22.3606797749979,7.73075862768798
"d18O",1,30,22.3606797749979,1.96434730095036
"N2O",2,30,22.3606797749979,0.680999376577349
"SP",2,30,22.3606797749979,7.49148489817112
"d18O",2,30,22.3606797749979,2.37687936013181
"N2O",3,30,22.3606797749979,0.229080757594316
"SP",3,30,22.3606797749979,6.59284869275175
"d18O",3,30,22.3606797749979,3.02035139363092
"N2O",4,30,22.3606797749979,0.329285336588305
"SP",4,30,22.3606797749979,7.24210198319617
"d18O",4,30,22.3606797749979,2.10887390775266
"N2O",5,30,22.3606797749979,0.669615845246751
"SP",5,30,22.3606797749979,9.95019980895298
"d18O",5,30,22.3606797749979,2.74869591217221
"N2O",6,30,22.3606797749979,0.799649334524594
"SP",6,30,22.3606797749979,7.34295990688396
"d18O",6,30,22.3606797749979,1.69998369351304
"N2O",7,30,22.3606797749979,0.249530552143297
"SP",7,30,22.3606797749979,8.99054691618641
"d18O",7,30,22.3606797749979,1.26535945190362
"N2O",8,30,22.3606797749979,0.716213045345654
"SP",8,30,22.3606797749979,10.8927998663104
"d18O",8,30,22.3606797749979,1.92837682905848
"N2O",9,30,22.3606797749979,0.953170600429023
"SP",9,30,22.3606797749979,6.28478563711486
"d18O",9,30,22.3606797749979,2.78066514460473
"N2O",10,30,22.3606797749979,0.23674962433747
"SP",10,30,22.3606797749979,9.88567333439275
"d18O",10,30,22.3606797749979,2.84180632277921
"N2O",11,30,22.3606797749979,0.707121484781763
"SP",11,30,22.3606797749979,6.56963731840534
"d18O",11,30,22.3606797749979,3.53177383660535
"N2O",12,30,22.3606797749979,2.01329716826911
"SP",12,30,22.3606797749979,5.06052182463687
"d18O",12,30,22.3606797749979,2.82427781794947
"N2O",1,60,22.3606797749979,0.572951333734757
"SP",1,60,22.3606797749979,3.54302443122133
"d18O",1,60,22.3606797749979,3.15792660755011
"N2O",2,60,22.3606797749979,0.993923036269049
"SP",2,60,22.3606797749979,5.14486796817657
"d18O",2,60,22.3606797749979,2.97788668266319
"N2O",3,60,22.3606797749979,1.46623782355805
"SP",3,60,22.3606797749979,5.39517892602591
"d18O",3,60,22.3606797749979,3.72118214455356
"N2O",4,60,22.3606797749979,2.23561162007832
"SP",4,60,22.3606797749979,7.6265806413457
"d18O",4,60,22.3606797749979,3.45256733893932
"N2O",5,60,22.3606797749979,0.368364426961731
"SP",5,60,22.3606797749979,7.4562078949327
"d18O",5,60,22.3606797749979,1.59280135663693
"N2O",6,60,22.3606797749979,0.307732719750522
"SP",6,60,22.3606797749979,10.2810849217464
"d18O",6,60,22.3606797749979,1.28028610415543
"N2O",7,60,22.3606797749979,1.71062034043511
"SP",7,60,22.3606797749979,5.80398597699383
"d18O",7,60,22.3606797749979,4.17869794053452
"N2O",8,60,22.3606797749979,1.20325762988296
"SP",8,60,22.3606797749979,9.92594853516395
"d18O",8,60,22.3606797749979,4.83388432208369
"N2O",9,60,22.3606797749979,2.20006662336456
"SP",9,60,22.3606797749979,5.62181284295767
"d18O",9,60,22.3606797749979,4.80518859060227
"N2O",10,60,22.3606797749979,0.88353685024461
"SP",10,60,22.3606797749979,9.81546551383725
"d18O",10,60,22.3606797749979,2.18471798670488
"N2O",11,60,22.3606797749979,2.08620795081451
"SP",11,60,22.3606797749979,4.71172093397214
"d18O",11,60,22.3606797749979,4.67751616036658
"N2O",12,60,22.3606797749979,3.48274060341328
"SP",12,60,22.3606797749979,3.74770074077098
"d18O",12,60,22.3606797749979,4.15919910619027
"N2O",1,90,22.3606797749979,0.693189898261608
"SP",1,90,22.3606797749979,2.72771879405385
"d18O",1,90,22.3606797749979,4.29549402684516
"N2O",2,90,22.3606797749979,1.45426121457593
"SP",2,90,22.3606797749979,4.32141821853049
"d18O",2,90,22.3606797749979,3.82018848203943
"N2O",3,90,22.3606797749979,2.18598255990886
"SP",3,90,22.3606797749979,6.96070130714224
"d18O",3,90,22.3606797749979,3.3786720822036
"N2O",4,90,22.3606797749979,3.66850268634029
"SP",4,90,22.3606797749979,6.08125245475175
"d18O",4,90,22.3606797749979,4.97890676357863
"N2O",5,90,22.3606797749979,0.338346786168364
"SP",5,90,22.3606797749979,9.69475498763478
"d18O",5,90,22.3606797749979,1.89061449741147
"N2O",6,90,22.3606797749979,0.215687527274941
"SP",6,90,22.3606797749979,3.54533525280517
"d18O",6,90,22.3606797749979,2.50864557179109
"N2O",7,90,22.3606797749979,1.25765790417283
"SP",7,90,22.3606797749979,7.74480484661792
"d18O",7,90,22.3606797749979,4.27505072768884
"N2O",8,90,22.3606797749979,1.57639827121191
"SP",8,90,22.3606797749979,11.0349391121758
"d18O",8,90,22.3606797749979,4.52334475450989
"N2O",9,90,22.3606797749979,3.64129285177354
"SP",9,90,22.3606797749979,3.55438073465367
"d18O",9,90,22.3606797749979,4.27995577307136
"N2O",10,90,22.3606797749979,1.08828831166896
"SP",10,90,22.3606797749979,10.3387182564534
"d18O",10,90,22.3606797749979,2.46674886484329
"N2O",11,90,22.3606797749979,4.51091793527299
"SP",11,90,22.3606797749979,3.66771839828608
"d18O",11,90,22.3606797749979,5.25368905884811
"N2O",12,90,22.3606797749979,4.82495687318184
"SP",12,90,22.3606797749979,2.70959147370765
"d18O",12,90,22.3606797749979,4.20240232729697
"N2O",1,120,22.3606797749979,0.758999376638169
"SP",1,120,22.3606797749979,2.78324736446704
"d18O",1,120,22.3606797749979,3.48302630665422
"N2O",2,120,22.3606797749979,1.91652334981547
"SP",2,120,22.3606797749979,3.31538417041695
"d18O",2,120,22.3606797749979,3.61325437178342
"N2O",3,120,22.3606797749979,2.90226597315731
"SP",3,120,22.3606797749979,6.81547522768617
"d18O",3,120,22.3606797749979,4.58004363072367
"N2O",4,120,22.3606797749979,4.60920373097155
"SP",4,120,22.3606797749979,3.48590268809411
"d18O",4,120,22.3606797749979,4.54499102461769
"N2O",5,120,22.3606797749979,0.301940410570417
"SP",5,120,22.3606797749979,6.83039779757341
"d18O",5,120,22.3606797749979,1.73840031012974
"N2O",6,120,22.3606797749979,0.284716406512369
"SP",6,120,22.3606797749979,9.80886547495036
"d18O",6,120,22.3606797749979,2.64490902400159
"N2O",7,120,22.3606797749979,1.52508624078653
"SP",7,120,22.3606797749979,5.15529420514652
"d18O",7,120,22.3606797749979,2.88434509869679
"N2O",8,120,22.3606797749979,1.49180594358247
"SP",8,120,22.3606797749979,11.2052476842201
"d18O",8,120,22.3606797749979,2.49249488406344
"N2O",9,120,22.3606797749979,4.52578855282865
"SP",9,120,22.3606797749979,6.48337617626484
"d18O",9,120,22.3606797749979,7.6205569483765
"N2O",10,120,22.3606797749979,0.915101249537409
"SP",10,120,22.3606797749979,6.41148559825731
"d18O",10,120,22.3606797749979,4.22072754435664
"N2O",11,120,22.3606797749979,4.79996019077105
"SP",11,120,22.3606797749979,3.98680857092905
"d18O",11,120,22.3606797749979,5.41020314328104
"N2O",12,120,22.3606797749979,6.22924109333371
"SP",12,120,22.3606797749979,2.75623937792811
"d18O",12,120,22.3606797749979,6.94839939905611
"N2O",1,7.5,47.2870804501588,0.698966642081174
"SP",1,7.5,47.2870804501588,8.74033361814615
"d18O",1,7.5,47.2870804501588,3.5507036619959
"N2O",2,7.5,47.2870804501588,0.057855329147635
"SP",2,7.5,47.2870804501588,7.0954754307223
"d18O",2,7.5,47.2870804501588,1.85945055763133
"N2O",3,7.5,47.2870804501588,0.233144341546521
"SP",3,7.5,47.2870804501588,5.84824694683206
"d18O",3,7.5,47.2870804501588,1.23079070644717
"N2O",4,7.5,47.2870804501588,0.432126370982819
"SP",4,7.5,47.2870804501588,6.37057927596666
"d18O",4,7.5,47.2870804501588,2.85978894089543
"N2O",5,7.5,47.2870804501588,0.163820101277944
"SP",5,7.5,47.2870804501588,7.2954194845757
"d18O",5,7.5,47.2870804501588,1.68435939756264
"N2O",6,7.5,47.2870804501588,0.640497763999373
"SP",6,7.5,47.2870804501588,9.44332490884844
"d18O",6,7.5,47.2870804501588,3.33814053492901
"N2O",7,7.5,47.2870804501588,0.256978541947974
"SP",7,7.5,47.2870804501588,10.6588504869044
"d18O",7,7.5,47.2870804501588,2.52688697384243
"N2O",8,7.5,47.2870804501588,0.647831361355457
"SP",8,7.5,47.2870804501588,9.49370399520464
"d18O",8,7.5,47.2870804501588,2.12463165158756
"N2O",9,7.5,47.2870804501588,0.100624828157785
"SP",9,7.5,47.2870804501588,12.0020049417982
"d18O",9,7.5,47.2870804501588,1.29873284511327
"N2O",10,7.5,47.2870804501588,0.175130651741498
"SP",10,7.5,47.2870804501588,13.8803909783894
"d18O",10,7.5,47.2870804501588,2.40843048395148
"N2O",11,7.5,47.2870804501588,0.203776624893158
"SP",11,7.5,47.2870804501588,6.03540772851628
"d18O",11,7.5,47.2870804501588,1.73507417279066
"N2O",12,7.5,47.2870804501588,2.58085024029944
"SP",12,7.5,47.2870804501588,6.77020070780481
"d18O",12,7.5,47.2870804501588,4.61051313508754
"N2O",1,30,47.2870804501588,0.311063299800254
"SP",1,30,47.2870804501588,7.90096279007691
"d18O",1,30,47.2870804501588,1.99025529832377
"N2O",2,30,47.2870804501588,0.657922648335618
"SP",2,30,47.2870804501588,6.66613158337127
"d18O",2,30,47.2870804501588,2.49233588718636
"N2O",3,30,47.2870804501588,0.255495425725636
"SP",3,30,47.2870804501588,7.10446892183084
"d18O",3,30,47.2870804501588,3.36702009095376
"N2O",4,30,47.2870804501588,0.403992550478664
"SP",4,30,47.2870804501588,7.44361037830725
"d18O",4,30,47.2870804501588,2.35719119031497
"N2O",5,30,47.2870804501588,0.635483892529255
"SP",5,30,47.2870804501588,8.7130855410614
"d18O",5,30,47.2870804501588,2.59538606015552
"N2O",6,30,47.2870804501588,0.784277038044165
"SP",6,30,47.2870804501588,7.26045682302398
"d18O",6,30,47.2870804501588,1.49397553511332
"N2O",7,30,47.2870804501588,0.234596285507421
